Council;Result;Year;Month
Barking and Dagenham;Labour;2022;5
Barnet;Labour;2022;5
Bexley;Conservative;2022;5
Brent;Labour;2022;5
Bromley;Conservative;2022;5
Camden;Labour;2022;5
Croydon;No overall control;2022;5
Ealing;Labour;2022;5
Enfield;Labour;2022;5
Greenwich;Labour;2022;5
Hackney;Labour;2022;5
Hammersmith and Fulham;Labour;2022;5
Haringey;Labour;2022;5
Harrow;Conservative;2022;5
Havering;No overall control;2022;5
Hillingdon;Conservative;2022;5
Hounslow;Labour;2022;5
Islington;Labour;2022;5
Kensington and Chelsea;Conservative;2022;5
Kingston upon Thames;Liberal Democrats;2022;5
Lambeth;Labour;2022;5
Lewisham;Labour;2022;5
Merton;Labour;2022;5
Newham;Labour;2022;5
Redbridge;Labour;2022;5
Richmond upon Thames;Liberal Democrats;2022;5
Southwark;Labour;2022;5
Sutton;Liberal Democrats;2022;5
Tower Hamlets;Independent;2022;5
Waltham Forest;Labour;2022;5
Wandsworth;Labour;2022;5
Westminster;Labour;2022;5
Barking and Dagenham;Labour;2018;5
Barnet;Conservative;2018;5
Bexley;Conservative;2018;5
Brent;Labour;2018;5
Bromley;Conservative;2018;5
Camden;Labour;2018;5
Croydon;Labour;2018;5
Ealing;Labour;2018;5
Enfield;Labour;2018;5
Greenwich;Labour;2018;5
Hackney;Labour;2018;5
Hammersmith and Fulham;Labour;2018;5
Haringey;Labour;2018;5
Harrow;Labour;2018;5
Havering;No overall control;2018;5
Hillingdon;Conservative;2018;5
Hounslow;Labour;2018;5
Islington;Labour;2018;5
Kensington and Chelsea;Conservative;2018;5
Kingston upon Thames;Liberal Democrats;2018;5
Lambeth;Labour;2018;5
Lewisham;Labour;2018;5
Merton;Labour;2018;5
Newham;Labour;2018;5
Redbridge;Labour;2018;5
Richmond upon Thames;Liberal Democrats;2018;5
Southwark;Labour;2018;5
Sutton;Liberal Democrats;2018;5
Tower Hamlets;Labour;2018;5
Waltham Forest;Labour;2018;5
Wandsworth;Conservative;2018;5
Westminster;Conservative;2018;5
Barking and Dagenham;Labour;2014;5
Barnet;Conservative;2014;5
Bexley;Conservative;2014;5
Brent;Labour;2014;5
Bromley;Conservative;2014;5
Camden;Labour;2014;5
Croydon;Labour;2014;5
Ealing;Labour;2014;5
Enfield;Labour;2014;5
Greenwich;Labour;2014;5
Hackney;Labour;2014;5
Hammersmith and Fulham;Labour;2014;5
Haringey;Labour;2014;5
Harrow;Labour;2014;5
Havering;No overall control;2014;5
Hillingdon;Conservative;2014;5
Hounslow;Labour;2014;5
Islington;Labour;2014;5
Kensington and Chelsea;Conservative;2014;5
Kingston upon Thames;Conservative;2014;5
Lambeth;Labour;2014;5
Lewisham;Labour;2014;5
Merton;Labour;2014;5
Newham;Labour;2014;5
Redbridge;Labour;2014;5
Richmond upon Thames;Conservative;2014;5
Southwark;Labour;2014;5
Sutton;Liberal Democrats;2014;5
Tower Hamlets;No overall control;2014;5
Waltham Forest;Labour;2014;5
Wandsworth;Conservative;2014;5
Westminster;Conservative;2014;5
Barking and Dagenham;Labour;2010;5
Barnet;Conservative;2010;5
Bexley;Conservative;2010;5
Brent;Labour;2010;5
Bromley;Conservative;2010;5
Camden;Labour;2010;5
Croydon;Conservative;2010;5
Ealing;Labour;2010;5
Enfield;Labour;2010;5
Greenwich;Labour;2010;5
Hackney;Labour;2010;5
Hammersmith and Fulham;Conservative;2010;5
Haringey;Labour;2010;5
Harrow;Labour;2010;5
Havering;Conservative;2010;5
Hillingdon;Conservative;2010;5
Hounslow;Labour;2010;5
Islington;Labour;2010;5
Kensington and Chelsea;Conservative;2010;5
Kingston upon Thames;Liberal Democrats;2010;5
Lambeth;Labour;2010;5
Lewisham;Labour;2010;5
Merton;No overall control;2010;5
Newham;Labour;2010;5
Redbridge;No overall control;2010;5
Richmond upon Thames;Conservative;2010;5
Southwark;Labour;2010;5
Sutton;Liberal Democrats;2010;5
Tower Hamlets;Labour;2010;5
Waltham Forest;Labour;2010;5
Wandsworth;Conservative;2010;5
Westminster;Conservative;2010;5
Barking and Dagenham;Labour;2006;5
Barnet;Conservative;2006;5
Bexley;Conservative;2006;5
Brent;No overall control;2006;5
Bromley;Conservative;2006;5
Camden;No overall control;2006;5
Croydon;Conservative;2006;5
Ealing;Conservative;2006;5
Enfield;Conservative;2006;5
Greenwich;Labour;2006;5
Hackney;Labour;2006;5
Hammersmith and Fulham;Conservative;2006;5
Haringey;Labour;2006;5
Harrow;Conservative;2006;5
Havering;Conservative;2006;5
Hillingdon;Conservative;2006;5
Hounslow;No overall control;2006;5
Islington;No overall control;2006;5
Kensington and Chelsea;Conservative;2006;5
Kingston upon Thames;Liberal Democrats;2006;5
Lambeth;Labour;2006;5
Lewisham;No overall control;2006;5
Merton;No overall control;2006;5
Newham;Labour;2006;5
Redbridge;Conservative;2006;5
Richmond upon Thames;Liberal Democrats;2006;5
Southwark;No overall control;2006;5
Sutton;Liberal Democrats;2006;5
Tower Hamlets;Labour;2006;5
Waltham Forest;No overall control;2006;5
Wandsworth;Conservative;2006;5
Westminster;Conservative;2006;5
City of London;Independent;2022;3
City of London;Independent;2017;3
City of London;Independent;2013;3
City of London;Independent;2009;3
