Name;Year;Population
City of London;2010;7338
City of London;2011;7412
City of London;2012;7204
City of London;2013;6848
City of London;2014;6872
City of London;2015;7160
City of London;2016;7401
City of London;2017;7405
City of London;2018;7681
City of London;2019;7953
City of London;2020;8046
City of London;2021;8164
City of London;2022;8289
City of London;2023;8408
Barking and Dagenham;2010;182838
Barking and Dagenham;2011;187418
Barking and Dagenham;2012;190949
Barking and Dagenham;2013;194741
Barking and Dagenham;2014;198683
Barking and Dagenham;2015;202368
Barking and Dagenham;2016;206849
Barking and Dagenham;2017;210513
Barking and Dagenham;2018;212773
Barking and Dagenham;2019;214858
Barking and Dagenham;2020;218367
Barking and Dagenham;2021;221495
Barking and Dagenham;2022;224407
Barking and Dagenham;2023;226988
Barnet;2010;351438
Barnet;2011;357653
Barnet;2012;364071
Barnet;2013;369203
Barnet;2014;375030
Barnet;2015;379806
Barnet;2016;386198
Barnet;2017;391446
Barnet;2018;397049
Barnet;2019;402363
Barnet;2020;407148
Barnet;2021;411275
Barnet;2022;415041
Barnet;2023;418291
Bexley;2010;230711
Bexley;2011;233002
Bexley;2012;234499
Bexley;2013;236915
Bexley;2014;240093
Bexley;2015;242370
Bexley;2016;244988
Bexley;2017;247179
Bexley;2018;249999
Bexley;2019;252885
Bexley;2020;254970
Bexley;2021;256845
Bexley;2022;258607
Bexley;2023;260232
Brent;2010;304785
Brent;2011;313084
Brent;2012;315499
Brent;2013;318103
Brent;2014;321601
Brent;2015;324851
Brent;2016;329093
Brent;2017;332750
Brent;2018;336859
Brent;2019;340710
Brent;2020;343853
Brent;2021;346437
Brent;2022;348783
Brent;2023;350714
Bromley;2010;308560
Bromley;2011;311110
Bromley;2012;314592
Bromley;2013;318455
Bromley;2014;321834
Bromley;2015;325413
Bromley;2016;327445
Bromley;2017;330909
Bromley;2018;332733
Bromley;2019;334292
Bromley;2020;336395
Bromley;2021;339466
Bromley;2022;342548
Bromley;2023;345216
Camden;2010;214725
Camden;2011;220087
Camden;2012;224961
Camden;2013;229718
Camden;2014;234845
Camden;2015;241058
Camden;2016;246180
Camden;2017;249556
Camden;2018;252637
Camden;2019;255526
Camden;2020;257384
Camden;2021;259344
Camden;2022;261082
Camden;2023;262494
Croydon;2010;357951
Croydon;2011;364815
Croydon;2012;368886
Croydon;2013;372752
Croydon;2014;376040
Croydon;2015;379031
Croydon;2016;382304
Croydon;2017;386346
Croydon;2018;391296
Croydon;2019;396548
Croydon;2020;400272
Croydon;2021;403461
Croydon;2022;406399
Croydon;2023;411580
Ealing;2010;334073
Ealing;2011;339665
Ealing;2012;341022
Ealing;2013;342845
Ealing;2014;342469
Ealing;2015;343410
Ealing;2016;343547
Ealing;2017;347126
Ealing;2018;350784
Ealing;2019;354184
Ealing;2020;361833
Ealing;2021;369685
Ealing;2022;377916
Ealing;2023;385818
Enfield;2010;307648
Enfield;2011;314011
Enfield;2012;317363
Enfield;2013;320600
Enfield;2014;324650
Enfield;2015;328509
Enfield;2016;331471
Enfield;2017;335647
Enfield;2018;337697
Enfield;2019;339480
Enfield;2020;342993
Enfield;2021;346635
Enfield;2022;349994
Enfield;2023;352879
Greenwich;2010;249171
Greenwich;2011;255483
Greenwich;2012;260068
Greenwich;2013;264008
Greenwich;2014;268678
Greenwich;2015;274803
Greenwich;2016;279766
Greenwich;2017;282774
Greenwich;2018;286322
Greenwich;2019;289650
Greenwich;2020;292466
Greenwich;2021;294837
Greenwich;2022;297039
Greenwich;2023;300514
Hackney;2010;241739
Hackney;2011;247578
Hackney;2012;252515
Hackney;2013;257775
Hackney;2014;263546
Hackney;2015;269405
Hackney;2016;273922
Hackney;2017;277475
Hackney;2018;281740
Hackney;2019;286425
Hackney;2020;289488
Hackney;2021;292023
Hackney;2022;294312
Hackney;2023;296177
Hammersmith and Fulham;2010;180842
Hammersmith and Fulham;2011;182790
Hammersmith and Fulham;2012;180195
Hammersmith and Fulham;2013;179030
Hammersmith and Fulham;2014;178710
Hammersmith and Fulham;2015;179754
Hammersmith and Fulham;2016;179998
Hammersmith and Fulham;2017;181889
Hammersmith and Fulham;2018;184050
Hammersmith and Fulham;2019;186075
Hammersmith and Fulham;2020;190721
Hammersmith and Fulham;2021;195981
Hammersmith and Fulham;2022;201406
Hammersmith and Fulham;2023;206689
Haringey;2010;252742
Haringey;2011;256438
Haringey;2012;259810
Haringey;2013;264284
Haringey;2014;268439
